[power_x0: 107, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 134, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 210, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 235, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 107, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 107, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 134, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 134, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 210, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 210, power_mu: 63, period: 14, acr_value: 2, balance: -2, unique_sequence_count: 10]
[power_x0: 235, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 235, power_mu: 63, period: 14, acr_value: 2, balance: 2, unique_sequence_count: 10]
[power_x0: 4, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 5, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 8, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 2, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 10, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 15, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 28, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 14, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 11, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 15, power_mu: 7, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 15, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 14, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 15, power_mu: 14, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 18, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 18, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 23, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 20, power_mu: 28, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 22, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 23, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 28, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 24, power_mu: 28, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 28, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 27, power_mu: 11, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 30, power_mu: 14, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 26, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 22, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 11, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 9, power_mu: 56, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 9]
[power_x0: 28, power_mu: 56, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 3, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 16, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 63, period: 14, acr_value: 6, balance: 0, unique_sequence_count: 10]
[power_x0: 20, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 26, power_mu: 88, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 28, power_mu: 63, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 10]
[power_x0: 29, power_mu: 88, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 5, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 7, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 10, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 12, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 17, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 19, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 20, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 24, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 21, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 26, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 27, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 25, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 31, power_mu: 95, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 29, power_mu: 95, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 31, power_mu: 97, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 2, power_mu: 133, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 9]
[power_x0: 6, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
[power_x0: 3, power_mu: 131, period: 14, acr_value: 6, balance: -2, unique_sequence_count: 7]
[power_x0: 1, power_mu: 133, period: 14, acr_value: 6, balance: 2, unique_sequence_count: 9]
