[power_x0: 8, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 10, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 22, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 20, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 25, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 29, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 5, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 2, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 13, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 8, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 10, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 14, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 15, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 11, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 17, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 20, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 24, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 27, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 32, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 37, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 34, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 40, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 38, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 41, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 44, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 52, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 47, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 51, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 56, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 60, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 44, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 51, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
